quarter_hour,spatial_location,traffic_volume
10,2,0.359327417
10,3,0.554292387
10,4,0.548654834
10,5,0.412839794
10,6,0.544890238
10,7,0.453115367
10,8,0.575614199
10,9,0.621078935
10,10,0.676711817
10,11,0.534082205
10,12,0.612213919
10,13,0.669570294
10,14,0.752998599
10,15,0.276702475
10,16,0.355801028
10,17,0.389883232
10,18,0.396646427
10,19,0.558229799
10,20,0.469518916
10,21,0.606314806
10,22,0.324474545
10,23,0.32574965
10,24,0.209439514
10,25,0.845245213
10,26,0.229117235
10,27,0.318552078
10,28,0.20790752
10,29,0.588355908
10,30,0.418056983
10,31,0.353675852
10,32,0.106697805
10,33,0.303288183
10,34,0.365730967
10,35,0.573437646
11,0,0.393582438
11,1,0.478397945
11,2,0.336711817
11,3,0.545263895
11,4,0.459766464
11,5,0.491368519
11,6,0.489794489
11,7,0.497174218
11,8,0.589822513
11,9,0.6039234
11,10,0.640107426
11,11,0.521461934
11,12,0.605091079
11,13,0.645137786
11,14,0.707010743
11,15,0.317482485
11,16,0.385347968
11,17,0.438066324
11,18,0.485338627
11,19,0.537365717
11,20,0.555768333
11,21,0.516370855
11,22,0.297912191
11,23,0.333545072
11,24,0.210177487
11,25,0.873890705
11,26,0.335441383
11,27,0.327706679
11,28,0.339551611
11,29,0.591494629
11,30,0.483647828
11,31,0.411022887
11,32,0.117594582
11,33,0.335632882
11,34,0.418598786
11,35,0.573484353
12,0,0.393582438
12,1,0.47248482
12,2,0.331475946
12,3,0.511695469
12,4,0.474343765
12,5,0.508911723
12,6,0.451835591
12,7,0.521816908
12,8,0.590098085
12,9,0.603157403
12,10,0.6306539
12,11,0.523717889
12,12,0.606240075
12,13,0.643736572
12,14,0.70366184
12,15,0.317440448
12,16,0.404880897
12,17,0.484357777
12,18,0.513092013
12,19,0.495983185
12,20,0.575039701
12,21,0.510924801
12,22,0.291905652
12,23,0.319780476
12,24,0.232690332
12,25,0.827996263
12,26,0.325179823
12,27,0.329719757
12,28,0.343185427
12,29,0.589023821
12,30,0.475207847
12,31,0.422097151
12,32,0.141191032
12,33,0.341527324
12,34,0.40562354
12,35,0.579929939
13,0,0.39255021
13,1,0.467342363
13,2,0.35431574
13,3,0.496268099
13,4,0.478640822
13,5,0.523040635
13,6,0.436029893
13,7,0.52404951
13,8,0.586006539
13,9,0.60457263
13,10,0.623783279
13,11,0.527108828
13,12,0.607921532
13,13,0.641672116
13,14,0.705917795
13,15,0.330294255
13,16,0.411574031
13,17,0.484100887
13,18,0.508738907
13,19,0.481321812
13,20,0.551298459
13,21,0.482638954
13,22,0.294689397
13,23,0.306487623
13,24,0.242919197
13,25,0.827468473
13,26,0.30895376
13,27,0.335992527
13,28,0.343316207
13,29,0.588584773
13,30,0.481041569
13,31,0.413895376
13,32,0.153297525
13,33,0.339668379
13,34,0.412975245
13,35,0.57823447
14,0,0.393582438
14,1,0.505520785
14,2,0.341391873
14,3,0.45784213
14,4,0.482433442
14,5,0.522480149
14,6,0.438094348
14,7,0.519574965
14,8,0.590938814
14,9,0.602690332
14,10,0.624726763
14,11,0.520275572
14,12,0.606482952
14,13,0.640495096
14,14,0.714563288
14,15,0.332349369
14,16,0.415203176
14,17,0.48444185
14,18,0.517940215
14,19,0.457949556
14,20,0.528776273
14,21,0.470924801
14,22,0.301849603
14,23,0.301630079
14,24,0.235016348
14,25,0.829262027
14,26,0.333876693
14,27,0.337006072
14,28,0.339191966
14,29,0.603573097
14,30,0.477309668
14,31,0.411326483
14,32,0.142255955
14,33,0.340023354
14,34,0.413260159
14,35,0.597982251
15,0,0.428995796
15,1,0.504689397
15,2,0.332069127
15,3,0.429383466
15,4,0.47274638
15,5,0.531872957
15,6,0.443106025
15,7,0.528271836
15,8,0.504754787
15,9,0.522867819
15,10,0.596039234
15,11,0.495343298
15,12,0.59013078
15,13,0.609056516
15,14,0.547356376
15,15,0.338883699
15,16,0.4393461
15,17,0.499327417
15,18,0.524801495
15,19,0.464259692
15,20,0.557108828
15,21,0.498463335
15,22,0.299794489
15,23,0.281602055
15,24,0.231312471
15,25,0.538033629
15,26,0.3473844
15,27,0.347262961
15,28,0.343124708
15,29,0.584525922
15,30,0.4952312
15,31,0.382470808
15,32,0.142727697
15,33,0.347589911
15,34,0.399486221
15,35,0.585838393
16,0,0.428879028
16,1,0.495002335
16,2,0.327417095
16,3,0.360714619
16,4,0.468851004
16,5,0.531872957
16,6,0.465707613
16,7,0.525128445
16,8,0.502340028
16,9,0.521359178
16,10,0.593769267
16,11,0.495693601
16,12,0.565175152
16,13,0.593180757
16,14,0.547772069
16,15,0.332125175
16,16,0.470182158
16,17,0.502480149
16,18,0.531872957
16,19,0.472540869
16,20,0.560163475
16,21,0.542559552
16,22,0.320439047
16,23,0.282951892
16,24,0.227996263
16,25,0.537337693
16,26,0.348524054
16,27,0.347010743
16,28,0.330242877
16,29,0.610691266
16,30,0.482979916
16,31,0.386959365
16,32,0.140499766
16,33,0.347155535
16,34,0.404806165
16,35,0.586296123
17,0,0.436464269
17,1,0.496459598
17,2,0.337421766
17,3,0.347300327
17,4,0.480140121
17,5,0.52574965
17,6,0.483040635
17,7,0.512699673
17,8,0.499061186
17,9,0.555390005
17,10,0.561443251
17,11,0.492867819
17,12,0.562947221
17,13,0.562232602
17,14,0.554656702
17,15,0.332293321
17,16,0.470182158
17,17,0.500957496
17,18,0.533507707
17,19,0.473446987
17,20,0.557211583
17,21,0.511368519
17,22,0.327734703
17,23,0.285600187
17,24,0.214044839
17,25,0.522260626
17,26,0.360032695
17,27,0.345955161
17,28,0.326319477
17,29,0.600434376
17,30,0.483236805
17,31,0.392755722
17,32,0.142540869
17,33,0.347589911
17,34,0.409663709
17,35,0.602732368
18,0,0.388425969
18,1,0.495857076
18,2,0.348542737
18,3,0.341447922
18,4,0.481377861
18,5,0.527342363
18,6,0.481597384
18,7,0.498327884
18,8,0.495156469
18,9,0.584581971
18,10,0.546394208
18,11,0.506763195
18,12,0.558528725
18,13,0.549757123
18,14,0.552573564
18,15,0.334367118
18,16,0.471078935
18,17,0.499327417
18,18,0.524801495
18,19,0.467790752
18,20,0.557108828
18,21,0.489163942
18,22,0.337248949
18,23,0.295025689
18,24,0.214633349
18,25,0.498687529
18,26,0.374502569
18,27,0.349406819
18,28,0.308743578
18,29,0.600630546
18,30,0.491485287
18,31,0.382227931
18,32,0.142512844
18,33,0.345273237
18,34,0.404806165
18,35,0.602596917
19,0,0.376613732
19,1,0.518267165
19,2,0.330593181
19,3,0.337043438
19,4,0.529537599
19,5,0.502671649
19,6,0.544236338
19,7,0.493404951
19,8,0.543148062
19,9,0.533035965
19,10,0.502069127
19,11,0.518510042
19,12,0.515418029
19,13,0.514908921
19,14,0.68646894
19,15,0.295380663
19,16,0.43340028
19,17,0.489182625
19,18,0.51548809
19,19,0.513176086
19,20,0.56202709
19,21,0.560546474
19,22,0.324082205
19,23,0.291139654
19,24,0.196006539
19,25,0.578687529
19,26,0.368771602
19,27,0.344348435
19,28,0.296721158
19,29,0.490831387
19,30,0.504829519
19,31,0.443078001
19,32,0.141415227
19,33,0.337407753
19,34,0.441929005
19,35,0.494404484
20,0,0.36901915
20,1,0.517814106
20,2,0.326814573
20,3,0.33673517
20,4,0.506557683
20,5,0.486001868
20,6,0.557557216
20,7,0.49659972
20,8,0.52353106
20,9,0.582269967
20,10,0.530252219
20,11,0.528127043
20,12,0.529757123
20,13,0.536557683
20,14,0.682970574
20,15,0.291106959
20,16,0.431835591
20,17,0.489472209
20,18,0.514217655
20,19,0.50595049
20,20,0.572947221
20,21,0.544301728
20,22,0.333811303
20,23,0.301461934
20,24,0.193876693
20,25,0.580177487
20,26,0.380116768
20,27,0.34339561
20,28,0.296739841
20,29,0.477445119
20,30,0.5060766
20,31,0.4432695
20,32,0.138790285
20,33,0.338608127
20,34,0.441247081
20,35,0.486623073
21,0,0.367884166
21,1,0.54659972
21,2,0.325730967
21,3,0.346426903
21,4,0.497197571
21,5,0.488253153
21,6,0.544283045
21,7,0.499789818
21,8,0.524166277
21,9,0.612965904
21,10,0.540499766
21,11,0.521013545
21,12,0.552760392
21,13,0.552512844
21,14,0.6873844
21,15,0.272480149
21,16,0.43340028
21,17,0.48189631
21,18,0.514731434
21,19,0.506823914
21,20,0.574320411
21,21,0.542540869
21,22,0.334848202
21,23,0.316828585
21,24,0.17620738
21,25,0.57686595
21,26,0.379701074
21,27,0.341802896
21,28,0.292115834
21,29,0.456459598
21,30,0.505156469
21,31,0.443442317
21,32,0.139056516
21,33,0.337814106
21,34,0.441233069
21,35,0.472554881
22,0,0.381461934
22,1,0.537202242
22,2,0.334175619
22,3,0.351163008
22,4,0.509327417
22,5,0.495123774
22,6,0.535179823
22,7,0.490397011
22,8,0.523101355
22,9,0.572610929
22,10,0.585310603
22,11,0.536216721
22,12,0.555142457
22,13,0.582568893
22,14,0.703054647
22,15,0.263367585
22,16,0.435534797
22,17,0.476039234
22,18,0.514493227
22,19,0.50483419
22,20,0.573759925
22,21,0.541975712
22,22,0.325758991
22,23,0.331064923
22,24,0.165586175
22,25,0.562241943
22,26,0.392106492
22,27,0.344297057
22,28,0.271952359
22,29,0.451433909
22,30,0.504829519
22,31,0.438127043
22,32,0.137655301
22,33,0.342003737
22,34,0.443101355
22,35,0.458127043
23,0,0.382195236
23,1,0.538893041
23,2,0.33758057
23,3,0.362849136
23,4,0.512928538
23,5,0.499962634
23,6,0.546791219
23,7,0.490882765
23,8,0.498570761
23,9,0.53398879
23,10,0.531060252
23,11,0.534918262
23,12,0.52731901
23,13,0.53111163
23,14,0.645871088
23,15,0.267234937
23,16,0.46633816
23,17,0.492003737
23,18,0.515983185
23,19,0.460397011
23,20,0.54542737
23,21,0.541092947
23,22,0.311447922
23,23,0.332760392
23,24,0.153325549
23,25,0.559014479
23,26,0.419855208
23,27,0.337440448
23,28,0.256235404
23,29,0.502676319
23,30,0.516394208
23,31,0.456090612
23,32,0.141957029
23,33,0.339182625
23,34,0.467052779
23,35,0.489121906
24,0,0.378028958
24,1,0.520499766
24,2,0.340994862
24,3,0.345913125
24,4,0.487589911
24,5,0.495067725
24,6,0.559266698
24,7,0.500723961
24,8,0.524955628
24,9,0.598636151
24,10,0.522326016
24,11,0.547141523
24,12,0.532956562
24,13,0.53856142
24,14,0.639822513
24,15,0.254175619
24,16,0.487823447
24,17,0.490298926
24,18,0.537015413
24,19,0.457790752
24,20,0.548014946
24,21,0.514432508
24,22,0.286576366
24,23,0.329219991
24,24,0.140102756
24,25,0.601662774
24,26,0.423671182
24,27,0.337421766
24,28,0.252695002
24,29,0.479883232
24,30,0.494063522
24,31,0.462326016
24,32,0.140098085
24,33,0.349537599
24,34,0.470924801
24,35,0.510368986
25,0,0.392442784
25,1,0.534866885
25,2,0.360481084
25,3,0.342321345
25,4,0.494343765
25,5,0.498766931
25,6,0.572573564
25,7,0.498636151
25,8,0.530583839
25,9,0.585782345
25,10,0.535016348
25,11,0.539285381
25,12,0.525548809
25,13,0.529005138
25,14,0.647870154
25,15,0.259929939
25,16,0.487090145
25,17,0.492718356
25,18,0.557552546
25,19,0.457613265
25,20,0.544072863
25,21,0.510252219
25,22,0.279859879
25,23,0.327375058
25,24,0.137828118
25,25,0.559799159
25,26,0.432886502
25,27,0.337767398
25,28,0.247258291
25,29,0.474026156
25,30,0.494259692
25,31,0.466585708
25,32,0.148290518
25,33,0.358435311
25,34,0.469850537
25,35,0.465511443
26,0,0.408589444
26,1,0.540163475
26,2,0.365193835
26,3,0.34404951
26,4,0.49255021
26,5,0.499308734
26,6,0.551770201
26,7,0.500845399
26,8,0.539374124
26,9,0.585021018
26,10,0.527389071
26,11,0.544922933
26,12,0.541742177
26,13,0.531069594
26,14,0.693708547
26,15,0.270242877
26,16,0.487552546
26,17,0.49568893
26,18,0.558094348
26,19,0.457753386
26,20,0.54549276
26,21,0.510252219
26,22,0.263106025
26,23,0.32548809
26,24,0.138150397
26,25,0.567248949
26,26,0.433956095
26,27,0.350210182
26,28,0.251508641
26,29,0.506184026
26,30,0.48856142
26,31,0.466954694
26,32,0.152129846
26,33,0.363451658
26,34,0.468608127
26,35,0.50255021
27,0,0.406805231
27,1,0.553759925
27,2,0.368346567
27,3,0.349682391
27,4,0.502083139
27,5,0.51496964
27,6,0.543750584
27,7,0.495632882
27,8,0.535273237
27,9,0.582120504
27,10,0.551681457
27,11,0.552923867
27,12,0.546384867
27,13,0.534862214
27,14,0.69980383
27,15,0.27359645
27,16,0.496454928
27,17,0.507898178
27,18,0.554754787
27,19,0.468748248
27,20,0.473829986
27,21,0.508397945
27,22,0.268173751
27,23,0.316945353
27,24,0.140934143
27,25,0.574371789
27,26,0.429929939
27,27,0.355478748
27,28,0.24268099
27,29,0.47680056
27,30,0.521060252
27,31,0.467716021
27,32,0.167725362
27,33,0.377356376
27,34,0.497463802
27,35,0.480051378
28,0,0.408215787
28,1,0.545189164
28,2,0.368804297
28,3,0.36032695
28,4,0.494082205
28,5,0.515511443
28,6,0.505838393
28,7,0.501466604
28,8,0.533867352
28,9,0.574044839
28,10,0.55457263
28,11,0.543078001
28,12,0.546520318
28,13,0.537538533
28,14,0.67451191
28,15,0.283811303
28,16,0.525997198
28,17,0.527627277
28,18,0.549724428
28,19,0.497496497
28,20,0.437020084
28,21,0.503624475
28,22,0.267748716
28,23,0.311849603
28,24,0.13405418
28,25,0.577599253
28,26,0.430238206
28,27,0.372540869
28,28,0.259369454
28,29,0.490490425
28,30,0.557977581
28,31,0.513517048
28,32,0.171391873
28,33,0.389177954
28,34,0.518337226
28,35,0.481886969
29,0,0.403353573
29,1,0.540368986
29,2,0.369677721
29,3,0.371886969
29,4,0.487594582
29,5,0.535735638
29,6,0.522793087
29,7,0.486870621
29,8,0.537314339
29,9,0.575824381
29,10,0.558201775
29,11,0.516964035
29,12,0.546165343
29,13,0.540621205
29,14,0.702167212
29,15,0.293325549
29,16,0.517417095
29,17,0.519089211
29,18,0.552269967
29,19,0.490635217
29,20,0.43699673
29,21,0.511022887
29,22,0.282265297
29,23,0.310126109
29,24,0.140677254
29,25,0.575604858
29,26,0.427510509
29,27,0.355179823
29,28,0.256384867
29,29,0.48967305
29,30,0.587804764
29,31,0.551686128
29,32,0.168150397
29,33,0.387127511
29,34,0.582382064
29,35,0.50614199
30,0,0.39490425
30,1,0.541550677
30,2,0.370303596
30,3,0.367211583
30,4,0.487594582
30,5,0.536529659
30,6,0.519631014
30,7,0.452718356
30,8,0.542386735
30,9,0.599229332
30,10,0.558201775
30,11,0.517183559
30,12,0.543087342
30,13,0.538514713
30,14,0.694581971
30,15,0.32973844
30,16,0.473493695
30,17,0.478911723
30,18,0.555758991
30,19,0.520238206
30,20,0.499196637
30,21,0.505773003
30,22,0.287786081
30,23,0.311102289
30,24,0.146324148
30,25,0.578407286
30,26,0.410537132
30,27,0.351148996
30,28,0.254992994
30,29,0.505025689
30,30,0.574936945
30,31,0.586702475
30,32,0.168491359
30,33,0.394764129
30,34,0.594301728
30,35,0.513638487
31,0,0.395796357
31,1,0.465007006
31,2,0.371181691
31,3,0.359518916
31,4,0.571270434
31,5,0.547692667
31,6,0.523306866
31,7,0.437295656
31,8,0.511910322
31,9,0.585469407
31,10,0.539901915
31,11,0.481742177
31,12,0.540504437
31,13,0.517916861
31,14,0.701583372
31,15,0.330154134
31,16,0.471709482
31,17,0.490822046
31,18,0.547258291
31,19,0.581840262
31,20,0.50561887
31,21,0.579434844
31,22,0.290112097
31,23,0.309504904
31,24,0.143643157
31,25,0.638033629
31,26,0.412396077
31,27,0.355758991
31,28,0.243703877
31,29,0.488458664
31,30,0.593825315
31,31,0.58496964
31,32,0.186609061
31,33,0.424021485
31,34,0.609243344
31,35,0.49333022
32,0,0.406520318
32,1,0.433101355
32,2,0.371214386
32,3,0.359584306
32,4,0.596562354
32,5,0.515936478
32,6,0.53339561
32,7,0.431980383
32,8,0.511989724
32,9,0.598893041
32,10,0.539528258
32,11,0.478201775
32,12,0.540504437
32,13,0.518463335
32,14,0.679864549
32,15,0.340929472
32,16,0.465432041
32,17,0.514871555
32,18,0.534600654
32,19,0.581265764
32,20,0.486235404
32,21,0.577963568
32,22,0.308024288
32,23,0.309243344
32,24,0.154595983
32,25,0.650999533
32,26,0.412723027
32,27,0.347211583
32,28,0.24385334
32,29,0.493965437
32,30,0.634680056
32,31,0.609121906
32,32,0.199322746
32,33,0.424128912
32,34,0.61385334
32,35,0.493998132
33,0,0.408318543
33,1,0.430014012
33,2,0.367730033
33,3,0.354567959
33,4,0.597487156
33,5,0.511209715
33,6,0.524460532
33,7,0.386249416
33,8,0.510723961
33,9,0.608958431
33,10,0.541405885
33,11,0.474852872
33,12,0.541022887
33,13,0.518682858
33,14,0.68378795
33,15,0.350158804
33,16,0.393666511
33,17,0.412400747
33,18,0.509920598
33,19,0.580822046
33,20,0.489850537
33,21,0.578790285
33,22,0.310658571
33,23,0.312101822
33,24,0.158631481
33,25,0.67111163
33,26,0.416707146
33,27,0.324539935
33,28,0.241625409
33,29,0.491008874
33,30,0.644058851
33,31,0.639771135
33,32,0.216258758
33,33,0.447431107
33,34,0.646487623
33,35,0.439677721
34,0,0.403862681
34,1,0.41680056
34,2,0.363806632
34,3,0.354563288
34,4,0.59627744
34,5,0.517244278
34,6,0.531667445
34,7,0.37353106
34,8,0.505385334
34,9,0.610985521
34,10,0.539645026
34,11,0.471424568
34,12,0.541611397
34,13,0.532666978
34,14,0.68378795
34,15,0.358444652
34,16,0.36326483
34,17,0.42810369
34,18,0.47398879
34,19,0.598977113
34,20,0.554198972
34,21,0.598458664
34,22,0.328972443
34,23,0.310425035
34,24,0.162872489
34,25,0.670378328
34,26,0.414194302
34,27,0.352101822
34,28,0.239425502
34,29,0.477024755
34,30,0.722601588
34,31,0.654633349
34,32,0.224689397
34,33,0.533096684
34,34,0.731092947
34,35,0.443367585
35,0,0.406819243
35,1,0.441331154
35,2,0.364096217
35,3,0.356777207
35,4,0.544591312
35,5,0.49548809
35,6,0.510303596
35,7,0.380966838
35,8,0.508449323
35,9,0.525151798
35,10,0.470971509
35,11,0.472993928
35,12,0.481424568
35,13,0.474759458
35,14,0.656805231
35,15,0.351499299
35,16,0.345637553
35,17,0.315539468
35,18,0.343633816
35,19,0.511779542
35,20,0.550256889
35,21,0.590172816
35,22,0.320551144
35,23,0.316254087
35,24,0.14450724
35,25,0.740476413
35,26,0.416618403
35,27,0.324689397
35,28,0.239514246
35,29,0.460878094
35,30,0.701531994
35,31,0.710906119
35,32,0.248141056
35,33,0.51326483
35,34,0.703736572
35,35,0.458907053
36,0,0.403811303
36,1,0.441289117
36,2,0.36437646
36,3,0.355025689
36,4,0.547828118
36,5,0.470009341
36,6,0.557538533
36,7,0.377015413
36,8,0.507884166
36,9,0.52673517
36,10,0.474824848
36,11,0.479691733
36,12,0.480205511
36,13,0.461980383
36,14,0.669154601
36,15,0.353881364
36,16,0.345824381
36,17,0.336576366
36,18,0.34464269
36,19,0.561508641
36,20,0.510929472
36,21,0.627127511
36,22,0.317860813
36,23,0.297706679
36,24,0.178594115
36,25,0.818939748
36,26,0.419042504
36,27,0.303801962
36,28,0.234997665
36,29,0.458687529
36,30,0.75914993
36,31,0.75418029
36,32,0.25568426
36,33,0.520149463
36,34,0.765913125
36,35,0.458000934
37,0,0.393713218
37,1,0.444283045
37,2,0.350298926
37,3,0.354287716
37,4,0.541237739
37,5,0.44300794
37,6,0.568650163
37,7,0.37248482
37,8,0.507323681
37,9,0.526964035
37,10,0.470994862
37,11,0.489243344
37,12,0.480896777
37,13,0.489075199
37,14,0.668257823
37,15,0.339028491
37,16,0.34071929
37,17,0.312970574
37,18,0.402265297
37,19,0.562508174
37,20,0.520999533
37,21,0.628206446
37,22,0.321354507
37,23,0.301485287
37,24,0.192064456
37,25,0.812582905
37,26,0.413045306
37,27,0.288453993
37,28,0.215399346
37,29,0.456291453
37,30,0.754946287
37,31,0.759883232
37,32,0.272975245
37,33,0.593671182
37,34,0.764544605
37,35,0.45503503
38,0,0.377753386
38,1,0.422340028
38,2,0.33895376
38,3,0.353049977
38,4,0.591480617
38,5,0.448654834
38,6,0.569752452
38,7,0.384432508
38,8,0.507673984
38,9,0.528542737
38,10,0.487062121
38,11,0.493582438
38,12,0.479729099
38,13,0.496389538
38,14,0.656805231
38,15,0.3467305
38,16,0.348724895
38,17,0.319350771
38,18,0.408355908
38,19,0.628519383
38,20,0.548715553
38,21,0.604259692
38,22,0.32320411
38,23,0.296539
38,24,0.190387669
38,25,0.76326483
38,26,0.413928071
38,27,0.25124241
